No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
26,queso blanco cheese,keju queso blanco,366,28.7,3,2.1,24,0,82.6,0.8,57.5,0.2,97,0,22,0.3,38,0.5,0.1,0,0.05,0.6,61,814.2,0.2,34.2,551.1,148.7,3.6,870.3
27,queso seco cheese,keju queso seco,315,23.6,2,0.5,23.8,0,75.7,1.8,40.9,0.2,38,0,0.01,0.2,27,0.4,49,0,32,0.5,45,641.2,0.2,26.2,460.8,112.5,3.2,691
28,goat cheese soft,keju kambing lembut,75,6,0,0.3,5.2,0,13,0.1,17.2,49,57,37,12,0.1,0.1,0.2,36,0,92,0.01,93,39.6,0.5,4.5,72.4,7.4,0.3,51.311
29,mozzarella cheese,keju mozarella,90,6.6,0.7,0,6.7,0,23.7,0.1,15,37,88,88,81,71,13,89,16,0,44,1,8,151.5,0.1,6,106.2,22.8,0.9,165.648
30,chihuahua cheese,keju chihuahua,494,39.2,7.3,7.3,28.5,0,138.6,0.8,51.7,7,53,31,82,0.3,0.2,0.4,61,0,89,0.3,11,859.3,0.6,30.4,583.4,68.6,4.6,934.983
31,limburger cheese,Keju Limburger,98,8.2,0.1,0.1,6,0,27,0.2,14.5,0.1,21,95,82,0.2,9,0.4,2,0,4,55,46,149.1,11,6.3,117.9,38.4,0.6,163.575
32,muenster cheese,keju muenster,486,39.7,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,16,9,85,0.4,0.1,0.3,72,0,65,0.3,56,946.4,0.5,35.6,617.8,176.9,3.7,1019.4
33,queso fresco cheese,keju queso fresco,365,29.1,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,19,29,76,0.2,0.05,0.4,0.06,0,55,0.5,87,690.5,0.2,29.3,469.7,157.4,3.1,745.8
34,brie cheese,keju brie,100,8.3,0.1,0.1,6.2,0,30,0.2,14.5,14,0.04,25,73,0.2,0.1,0.2,1,0,68,78,56,55.2,0.2,6,56.4,45.6,0.7,70.096
35,pimento cheese,keju pimento,525,43.7,2.4,0.9,31,0.1,131.6,2,54.7,0.3,23,43,16,0.5,0.1,0.7,11,3.2,99,0.4,86,859.6,0.6,30.8,1041.6,226.8,4.2,940.9
36,mexican cheese,keju Meksiko,316,21.7,3.8,0.6,27.7,0,69.4,0.9,54,0.2,91,27,0.05,0.3,17,0,0.04,0,87,0.2,73,1283.5,0.1,39.2,653,104.2,4.8,1337
37,feta cheese,keju feta,80,6.4,1.2,0,4.3,0,26.7,0.3,16.6,14,63,21,76,0.3,0.3,0.3,0.1,0,0.06,36,57,147.9,0.2,5.7,101.1,18.6,0.9,160.058
38,mozzarella cheese fat free,Keju mozzarella bebas lemak,159,0,4,1.7,35.8,2,20.3,0.8,68,0.1,79,11,25,0.3,0.1,0,55,0,0,0.2,18,1085.9,0.4,37.3,741.3,119.8,4.4,1128.2
39,provolone cheese,keju provolone,463,35.1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,13,17,5,0.4,0.2,0.6,52,0,28,0.3,1,997.9,0.7,37,654.7,182.2,4.3,1070.6
40,anejo cheese,keju anejo,492,39.6,6.1,6.1,28.3,0,138.6,1.5,50.2,98,69,81,77,0.3,88,0.3,11,0,32,0.3,78,897.6,0.6,37,586.1,114.8,3.9,972.205
41,honey,Sayang,64,0,17.3,17.2,0.08,25,0,11,3.6,0,0,22,0,3,12,0.03,4,0.1,0,0,0,1.3,17,0.4,0.8,10.9,8,18.892
42,apple butter,mentega apel,35,63,8.5,7.1,45,0.3,0,3,11.3,0,78,0.02,0,53,92,5,57,0.1,0,0.06,75,2.8,25,0.8,1.6,18.2,95,11.836
43,fruit jam,selai buah,56,95,13.8,9.7,0,0.2,0,52,6.1,0,83,76,0,24,0.07,45,37,1.8,0,62,0,4,0.07,0.8,3.8,15.4,0.03,19.919
44,chocolate hazelnut spread,selai coklat hazelnut,100,5.5,11.5,10,1,1,0,99,0.2,0,5,0.02,42,36,72,0.1,56,0,0,0.9,71,20,0.8,11.8,28.1,75.3,0.2,39.8
45,peanut butter,selai kacang,88,7.4,3.6,1,3.3,0.9,0,85,0.2,0,0,81,63,0,41,2,0.2,78,0,0,0.9,0,79,0.3,0.2,50.3,44,15.268
46,peanut spread,selai kacang,101,8.5,2.2,0.5,3.8,1.2,0,28,0.3,0,91,79,0,25,2.5,0.2,49,0,0,1.2,46,11.2,0.4,25.4,54.3,126.8,0.5,27.3
47,chicken spread,olesan ayam,88,9.8,2.3,0.3,10.1,0.2,31.4,0.4,32.1,76,0.06,48,64,3,1.5,0.2,16,0,0,0,0,9,0.5,6.7,49.8,59.4,0.6,31.972
48,cheese spread,olesan keju,708,68.6,8.4,8.4,17,0,216,1.2,140.4,0.7,71,27,11,0.5,2.3,0,51,0,91,1.8,98,170.4,2.7,14.4,218.4,268.8,1.2,267.8
49,tahini,tahini,86,7.2,3.9,0,2.7,1.4,0,98,0.5,0,0.2,34,0,86,0.9,0.1,36,0,0,0,0,63,0.4,14.4,112.8,62.1,0.7,78.6
50,orange marmalade,selai jeruk,49,0,13.3,12,14,0.1,0,16,6.6,0,98,0.06,0,75,65,28,46,1,0,89,0,7.6,53,0.4,0.8,7.4,46,22.119
51,american cheese spread,olesan keju amerika,46,3.4,1.4,1.2,2.6,0,8.8,0.3,7.6,43,12,66,22,76,89,0.1,86,0,14,22,46,89.9,79,4.6,140,38.7,0.4,97.357
52,apricot jam,selai aprikot,48,0.01,12.9,8.7,0.1,44,0,4,6.9,0,0,17,0,53,96,87,68,1.8,0,48,0,4,66,0.8,0.6,15.4,62,18.91
53,chunky peanut butter,selai kacang kental,94,8,3.5,1.3,3.8,1.3,0,0.03,0.2,0,18,94,0,13,2.2,0.2,72,0,0,1,16,7.2,0.3,25.6,51,119.2,0.4,24.1
54,corn rice,nasi jagung,110,0.3,25.2,3,1.8,0.4,0,0.2,1.1,0.2,1.8,0,0,1.1,8.6,7,1.7,11.2,0,35,0,2.9,9.9,5.5,22.3,30.5,2.2,51.9
55,hummus,bubur sumsum,435,21.1,49.5,0.7,12,9.8,0,0.6,159.6,0,0.2,0.1,0,0.1,1,0.7,1,19.4,0,1.8,59,120.5,3.8,71.3,270.6,425.6,2.7,236.1
56,ladyfingers,kue berbentuk jari,103,2.6,16.9,7.2,3,0.3,62.5,16,5.5,0,96,78,0.05,0.1,0.6,0.3,77,1,33,0.2,2,13.3,1,3.4,49,32,0.3,38.1
57,baked beans,kacang panggang,310,10.3,43.3,0,11.1,11,10,0.8,130.3,0,0,0.3,31,0,36,0.8,0.3,0.2,2.2,0,0,0,0.3,4,0.5,218,52,76.2
58,egg mix,campuran telur,30,2.2,98,91,2.4,0,81.5,12,0.1,78,92,91,85,69,93,73,0.3,34,0,49,0.2,78,55,0.4,15,31.5,43,4.876
59,beef stock,kaldu sapi,31,0.2,2.9,1.3,4.7,0,0,0.5,230.1,0,44,38,0,0.2,2.1,0,0.1,0,0,48,24,19.2,0.6,16.8,74.4,444,0.4,27.6
60,fish broth,kaldu ikan,39,1.5,1,0.2,4.9,0,0,0.5,234.2,68,0,55,22,89,3.3,0,57,0,0,0.4,94,73.2,0.5,2.4,73.2,209.8,0.2,81.193
61,ramen noodle soup dry,sup mie ramen kering,371,13.3,53.9,1.3,8.9,2,0,1.7,4.2,0,0.9,8,35,0.2,3.5,0.2,14,0.3,0,1.3,38,24.7,3.4,19.6,101.2,152.2,0.7,106.5
62,chicken broth,kaldu ayam,12,0.5,1,0,1,0,0,0.9,229.8,0,28,0,0,0.03,1.2,0.04,72,16.5,0,0,0,14.1,0.5,2.4,30.6,188,0.2,33.6
63,beef broth powder,bubuk kaldu sapi,8,0.3,0.6,0.6,0.6,0,0.4,0.9,0.1,0,29,73,8,75,0.2,75,44,0,0,68,16,2.2,0.03,1.8,11.5,16.1,0,3.739
64,chicken stock,kaldu ayam,86,2.9,8.5,3.8,6,0,7.2,0.3,221.2,9,73,59,0,0.2,3.8,0,0.1,0.5,0,46,81,7.2,0.5,9.6,64.8,252,0.3,25.696
65,sucker raw,pengisap mentah,146,3.7,0,0,26.6,0,65.2,0,126.7,41,95,28,63,0.1,1.9,1.2,0.3,0,0,0,0,111.3,2.1,47.7,333.9,604.2,1.2,143.779
66,northern pike raw,tombak utara mentah,348,2.7,0,0,76.3,0,154.4,0.2,312.5,59,0.2,77,78,0.2,9.1,3,0.5,15,25,0.8,89,225.7,2.2,122.8,871.2,1025.6,2.7,321.946
67,haddock cooked,ikan haddock yang dimasak,135,0.8,0,0,30,0,99,0.4,119.5,12,99,35,45,0.1,6.2,0.7,0.5,0,64,0.8,4,21,0.3,39,417,526.5,0.6,52.159
68,burbot cooked,ikan burbot yang dimasak,104,0.9,0,0,22.3,0,69.3,0.1,66.1,71,0.4,59,87,0.2,1.8,0.2,0.3,0,0,0,0,57.6,1,36.9,230.4,466.2,0.9,81.891
69,pollock cooked,ikan pollock yang dimasak,356,3.8,0,0,75.3,0,274.8,0.3,217.5,45,0.2,92,93,0.7,12,1.2,1,0,0,0,0,232.5,1.8,259.7,854.7,1377.1,1.8,313.428
70,rainbow smelt raw,ikan smelt pelangi mentah,27,0.7,0,0,5,0,19.8,19,22.3,36,71,57,56,24,0.4,0.2,95,0,45,0.1,68,17,0.3,8.5,65.1,82.1,0.5,23.004
71,whitefish cooked,ikan putih dimasak,265,11.6,0,0,37.7,0,118.6,0.1,100.2,82,0.3,0,27,0.2,5.9,1.3,0.5,0,0,0,0,50.8,0.7,64.7,532.8,625.2,2,100.864
72,walleye pike raw,walleye tombak mentah,148,1.9,0,0,30.4,0,136.7,11,126.1,83,0.4,32,6,0.3,3.7,1.2,0.2,0,0,0,0,174.9,2.1,47.7,333.9,618.5,1,209.316
73,carp cooked,ikan mas yang dimasak,275,12.2,0,0,38.9,0,142.8,0.1,118.4,0.02,0.2,56,0.09,0.1,3.6,1.5,0.4,2.7,0,0,0,88.4,2.7,64.6,902.7,725.9,3.2,144.989
74,wolffish cooked,ikan serigala dimasak,293,7.3,0,0,53.4,0,140.4,0.3,176.7,0.3,0.5,63,0.08,0.2,6.2,1.6,1.1,0,0,0,0,19,0.3,90.4,609.3,916.3,2.4,80.3
75,snapper cooked,ikan kakap masak,218,2.9,0,0,44.7,0,79.9,66,119.6,71,9,94,0.05,65,0.6,1.5,0.8,2.7,0,0,0,68,0.4,62.9,341.7,887.4,0.7,118.742
76,roe cooked,telur ikan yang sudah dimasak,58,2.3,0.5,0,8.1,0,135.6,55,16.6,66,1,55,56,0.3,0.6,0.3,85,4.6,0,0,0,7.9,0.2,7.4,145.7,80.1,0.4,23.609
77,anchovy raw,ikan teri mentah,37,1.4,0,0,5.8,0,17,12,20.8,97,55,29,32,9,4,0.2,67,0,0,0.2,15,41.6,0.9,11.6,49.2,108.4,0.5,49.714
78,herring raw,ikan haring mentah,291,16.6,0,0,33,0,110.4,0.2,132.6,27,0.2,84,16,0.4,5.9,1.2,0.6,1.3,5,2,33,104.9,2,58.9,434.2,601.7,1.8,157.898
79,cod raw,ikan kod mentah,189,1.5,0,0,41.1,0,99.3,0.1,187.6,45,0.2,16,61,0.2,4.8,0.4,0.6,2.3,83,1.5,21,37,0.9,73.9,468.9,954,1,82.88
80,tilapia raw,ikan nila mentah,111,2,0,0,23.3,0,58,9,90.6,0,94,0.09,0.02,36,4.5,0.6,0.2,0,19,0.5,68,11.6,0.6,31.3,197.2,350.3,0.4,37.5
81,whiting cooked,ikan whiting yang dimasak,84,1.2,0,0,16.9,0,60.5,18,53.8,64,0.04,75,45,0.05,1.2,0.2,0.1,0,27,0.3,75,44.6,0.3,19.4,205.2,312.5,0.4,63.037
82,skipjack tuna cooked,ikan cakalang yang dimasak,407,4,0,0,86.9,0,184.8,0.1,191.8,59,0.1,0.06,41,0.4,57.8,1.5,3,3.1,0,0,0,114,4.9,135.5,877.8,1607.8,3.2,212.936
83,salmon cooked,salmon dimasak,733,44,0,0,78.7,0,224.3,0.2,230.5,0.2,1.2,0.1,0.01,0.5,28.6,5.3,2.3,13.2,46,4.1,44,53.4,1.2,106.8,897.1,1367,1.5,190.7
84,swordfish raw,ikan todak mentah,196,9,0,0,26.7,0,89.8,0.1,99.8,0.04,0.1,36,0.02,71,10.6,0.5,0.7,0,82,2.7,23,6.8,0.5,39.4,346.8,568.5,0.9,43.072
85,rainbow trout cooked,ikan trout pelangi dimasak,119,5.2,0,0,16.9,0,49.7,41,48.8,0.09,24,0.1,35,11,77,4.7,1.4,0.3,2.1,92,2,3,93,0.3,43,191.7,59,22.557
86,fish sandwich with cheese,sandwich ikan dengan keju,374,19.6,35.4,4.9,15.1,0,49.6,0.6,61.3,0,0.3,0,7,0.3,3.1,0.3,44,2,0,0,0,160.8,2.1,36.2,183.6,294.8,0.8,235
87,jellyfish dried,ubur-ubur kering,21,0.8,0,0,3.2,0,2.9,5.6,39.4,24,82,33,0,0.05,0.1,0,54,0,0,0.05,59,1.2,1.3,1.2,11.6,1.7,0.2,6.517
88,mullet raw,mullet mentah,139,4.5,0,0,23,0,58.3,98,91.6,48,0.1,2,92,0.07,6.2,0.9,0.5,1.4,65,1.2,66,48.8,1.2,34.5,263,424.8,0.6,78.949
89,lingcod raw,lingcod mentah,213,2.7,0,0,44.2,0,130,0.1,202.6,79,67,0.04,93,0.3,4.8,1.9,0.8,0,0,0,0,35,0.8,65,502.5,1092.5,1.1,82.778
90,cisco raw,cisco mentah,77,1.5,0,0,15,0,39.5,42,62.4,22,98,16,23,24,2,0.6,0.2,0,0,0,0,9.5,0.3,13.4,120.1,279.7,0.3,26.367
91,snapper raw,ikan kakap mentah,218,2.9,0,0,44.7,0,80.7,0.1,167.6,0.01,0.1,28,0.06,49,0.6,1.6,0.9,3.5,54,2.1,98,69.8,0.4,69.8,431.6,909.1,0.8,121.32
92,fish sandwich,roti lapis ikan,565,27.4,58.7,7.8,22.6,0,77,1.3,106.6,0.2,0,0.5,0,0,0.3,4.7,0.8,0.2,4,0,0,0,0.2,3.3,0.6,255.2,0.1,109.3
93,haddock raw,ikan haddock mentah,143,0.9,0,0,31.5,0,104.2,0.4,160.9,98,0.01,5,12,0.1,6.5,0.8,0.5,0,25,0.9,79,21.2,0.3,40.5,438.1,552,0.6,53.952
94,ocean perch raw,ikan kerapu laut mentah,51,1,0,0,9.8,0,33.3,0.2,50.4,87,64,74,21,0.06,0.6,0.2,78,0,0.08,0.5,51,17.9,0.1,14.7,158.7,119.7,0.2,28.835
95,cuttlefish cooked,sotong dimasak,45,0.4,0.5,0,9.2,0,63.4,0.2,17.3,0.05,0.07,46,57,0.5,0.6,0.3,15,2.4,0,0,0,50.9,3.1,17,164.1,180.3,1,66.521
96,cod cooked,ikan kod yang dimasak,189,1.5,0,0,41.1,0,99,0.1,136.7,77,0.2,24,71,0.1,4.5,0.3,0.5,1.8,97,1.5,28,25.2,0.9,75.6,248.4,439.2,1,70.534
97,seatrout raw,ikan kakap mentah,248,8.6,0,0,39.8,0,197.5,0.1,185.9,56,0.1,85,83,0.4,5.7,1.8,1,0,0,0,0,40.5,0.6,73.8,595,811.6,1.1,89.528
98,flounder raw,ikan flounder mentah,114,3.1,0,0,20.2,0,73.4,0.5,137.9,36,53,48,72,91,1.7,0.3,0.2,0,59,1,74,34.2,0.3,29.3,410.8,260.8,0.5,57.837
99,spot cooked,dimasak di tempat,79,3.1,0,0,11.9,0,38.5,22,34.6,51,51,36,93,0.1,4.3,0.4,0.2,0,0,0,0,9,0.2,27,119,318,0.3,24.239
100,walleye pike cooked,ikan walleye pike yang dimasak,148,1.9,0,0,30.4,0,136.4,69,91.1,85,0.4,32,47,0.2,3.5,1.1,0.2,0,0,0,0,174.8,2.1,47.1,333.6,618.8,1,209.213
101,perch raw,bertengger mentah,55,0.6,0,0,11.6,0,54,37,47.5,52,0.03,41,34,1,0.9,0.5,91,1,84,0.1,92,48,0.5,18,120,161.4,0.7,61.715
102,pumpkin seed sunfish raw,biji labu ikan matahari mentah,43,0.3,0,0,9.3,0,32.2,0.06,38.2,96,31,87,0.07,64,0.6,0.4,24,0.5,0,0,0,38.4,0.6,14.4,86.4,168,0.7,49.154
103,salt mackerel,makarel asin,415,34.1,0,0,25.2,0,129.2,6.1,58.5,31,0.05,61,65,0.3,4.5,0,0.6,0,0.03,3.2,43,89.8,1.9,81.6,345.4,707.2,1.5,151.025
104,mackerel cooked,makarel yang dimasak,231,15.7,0,0,21,0,66,64,46.9,65,0.1,14,97,0.4,6,0.9,0.4,0.4,0,0,0,13.2,1.4,85.4,244.6,352.9,0.8,51.733
105,tilapia cooked,ikan nila yang dimasak,111,2.3,0,0,22.8,0,49.6,11,62.3,0,21,6,37,72,4.1,0.6,0.1,0,13,0.7,53,12.2,0.6,29.6,177.5,330.6,0.4,37.9
106,drum raw,drum mentah,236,9.8,0,0,34.7,0,126.7,0.1,153.1,0.1,0.1,0.07,0.03,0.3,4.7,1.5,0.6,2,0,0,0,118.8,1.8,59.4,356.4,544.5,1.3,167.2
107,atlantic croaker fried,ikan croaker atlantik goreng,192,11,6.6,0,15.8,0.3,73.1,0.3,52,4,6,44,32,0.1,3.7,0.6,0.2,0,0,0,0,27.8,0.7,36.5,188.8,295.8,0.5,62.209
108,pumpkin seed sunfish cooked,ikan sunfish biji labu dimasak,42,0.3,0,0,9.2,0,31.8,46,27.3,87,1,38,62,28,0.5,0.3,66,0.4,0,0,0,38.1,0.6,14.1,85.5,166.1,0.7,48.674
109,wolffish raw,ikan serigala mentah,294,7.3,0,0,53.6,0,140.8,0.3,244.5,0.3,0.6,62,74,0.2,6.5,1.7,1.2,0,0,0,0,18.4,0.3,91.8,612,918,2.4,79.9
110,bluefin tuna cooked,tuna sirip biru dimasak,276,9.4,0,0,44.9,0,73.5,0.02,88.6,1.1,0.4,34,62,0.5,15.8,2.1,0.8,0,0,0,0,15,2,96,489,484.5,1.2,72.4
111,scup cooked,tulang rusuk dimasak,68,1.8,0,0,12.1,0,33.5,61,34.2,93,4,51,37,44,2.5,0.4,0.2,0,0,0,0,25.5,0.3,14.5,118.5,184,0.3,39.718
112,herring cooked,ikan haring yang dimasak,290,16.6,0,0,32.9,0,110.1,0.2,91.7,76,0.2,67,0.06,0.4,5.9,1.1,0.5,1,0,2,74,105.8,2,58.6,433.3,599.2,1.8,158.304
113,bluefish raw,ikan bluefish mentah,186,6.4,0,0,30.1,0,88.5,28,106.3,0.2,33,51,32,0.1,8.9,1.2,0.6,0,0,0,0,10.5,0.7,49.5,340.5,558,1.2,47.9
114,sheepshead cooked,kepala domba yang dimasak,234,3,0,0,48.4,0,119,0.1,128.4,69,61,58,62,89,3.3,1.6,0.7,0,0,0,0,68.8,1.2,65.1,651,952.3,1.2,121.48
115,bass cooked,ikan bass dimasak,91,2.9,0,0,15,0,53.9,78,42.6,73,81,85,2,9,0.9,0.5,23,1.3,0,0,0,63.9,1.2,23.6,158.7,282.7,0.5,84.379
116,pout cooked,cemberut matang,279,3.2,0,0,58.4,0,183.6,0.2,208.5,62,0.3,77,17,0.2,7,0.5,0.8,0,0,0,0,35.6,1,46.6,701.4,1405.6,3.6,98.207
117,chinook salmon raw,salmon chinook mentah,709,41.3,0,0,78.9,0,198,0.2,283.7,0.5,0.2,0.1,77,0.4,33.3,3,1.6,15.8,0,4.8,0,103,1,376.2,1144.4,1560.2,1.7,240.5
118,rockfish raw,ikan karang mentah,172,2.6,0,0,35.1,0,95.5,0.1,151,7,39,45,92,0.4,4.6,0.6,0.4,0,27,0.7,0,26.7,0.6,51.6,391.6,737.3,0.7,65.002
119,tilefish raw,tilefish mentah,371,8.9,0,0,67.6,0,193,0.2,304.6,57,0.5,42,57,0.6,11.2,2.9,1,0,0,0,0,100.4,1,108.1,721.8,1671.4,1.4,177.901
120,scup raw,kulit mentah,174,4.5,0,0,31.3,0,86.3,82,125.1,37,0.2,0.02,14,0.2,6.8,1.2,0.5,0,77,0.8,1,66.4,0.9,38.2,307.1,476.4,0.8,103.111
121,sablefish cooked,ikan gabus yang dimasak,755,59.3,0,0,51.9,0,190.3,0.2,189.8,0.3,0.4,85,46,0.3,15.5,2.6,1,0,0,0,0,135.9,5,214.4,649.3,1386.2,1.2,252.4
122,tuna salad,salad ikan tuna,383,19,19.3,0,32.9,0,26.7,0.8,129.5,4,28,59,49,0.1,13.7,0.5,0.2,4.5,0,0,0,34.9,2.1,39,364.9,364.9,1.1,112.727
123,coho salmon cooked,salmon coho dimasak,255,11.8,0,0,34.7,0,90.1,0.06,95.8,63,0.1,64,86,0.2,10.6,1.8,0.8,2.1,0,0,0,17.2,0.6,48.6,474.8,657.8,0.7,66.478
124,roe raw,telur ikan mentah,20,0.9,0.2,0,3.1,0,52.4,52,9.5,28,25,68,4,0.1,0.3,0.1,72,2.2,0.02,1,18,3.1,85,2.8,56.3,30.9,0.1,9.553
125,sea bass raw,ikan bass laut mentah,125,2.6,0,0,23.8,0,52.9,84,101,1,0.1,79,64,0.2,2.1,1,0.5,0,71,1.1,91,12.9,0.4,52.9,250.3,330.2,0.5,39.739
126,pink salmon cooked,salmon merah muda dimasak,349,12,0,0,56,0,125.4,0.2,161.1,29,55,0.2,43,12,0.3,21.9,2.8,1.6,0,41,1.1,66,0.2,1,3,713.6,89,69.873
127,sockeye salmon cooked,salmon sockeye dimasak,493,17.3,0,0,82.1,0,189.1,0.3,208.7,87,0.2,0.5,35,0.04,0.8,31.4,4.3,2.6,0,16,3.1,89,0.2,1.6,96,945.5,0.1,102.315
128,whitefish raw,ikan putih mentah,265,11.6,0,0,37.8,0,118.8,0.1,144.1,92,0.3,89,95,0.2,5.9,1.5,0.6,0,95,0.4,61,51.5,0.7,65.3,534.6,627.7,2,101.603
129,greenland halibut cooked,ikan halibut greenland yang dimasak,760,56.4,0,0,58.6,0,187.6,0.3,196.8,93,0.2,0.07,4,0.3,6.1,0.9,1.5,0,0,0,0,12.7,2.7,104.9,667.8,1093.9,1.6,130.404
130,northern pike cooked,tombak utara dimasak,350,2.7,0,0,76.5,0,155,0.2,226.2,95,0.2,98,88,0.2,8.7,2.7,0.4,11.8,0,0,0,226.3,2.2,124,874.2,1026.1,2.7,319.506
